"","x"
"1","SPAC1002.02"
"2","SPAC1002.03c"
"3","SPAC1002.04c"
"4","SPAC1002.07c"
"5","SPAC1002.09c"
"6","SPAC1002.10c"
"7","SPAC1002.11"
"8","SPAC1002.12c"
"9","SPAC1002.13c"
"10","SPAC1002.17c"
"11","SPAC1002.18"
"12","SPAC1006.07"
"13","SPAC1006.09"
"14","SPAC1039.02"
"15","SPAC1039.06"
"16","SPAC105.02c"
"17","SPAC1071.02"
"18","SPAC1071.05"
"19","SPAC1071.06"
"20","SPAC1071.07c"
"21","SPAC1071.08"
"22","SPAC1071.10c"
"23","SPAC1093.02"
"24","SPAC1093.05"
"25","SPAC10F6.01c"
"26","SPAC10F6.02c"
"27","SPAC10F6.03c"
"28","SPAC10F6.06"
"29","SPAC10F6.08c"
"30","SPAC10F6.10"
"31","SPAC10F6.13c"
"32","SPAC10F6.16"
"33","SPAC10F6.17c"
"34","SPAC110.03"
"35","SPAC110.04c"
"36","SPAC1142.01"
"37","SPAC1142.02c"
"38","SPAC1142.04"
"39","SPAC1142.06"
"40","SPAC1142.07c"
"41","SPAC11D3.02c"
"42","SPAC11D3.04c"
"43","SPAC11D3.14c"
"44","SPAC11D3.15"
"45","SPAC11D3.18c"
"46","SPAC11E3.03"
"47","SPAC11E3.04c"
"48","SPAC11E3.07"
"49","SPAC11E3.13c"
"50","SPAC11E3.14"
"51","SPAC11E3.15"
"52","SPAC11G7.01"
"53","SPAC11G7.02"
"54","SPAC11G7.03"
"55","SPAC11G7.04"
"56","SPAC11H11.06"
"57","SPAC1250.01"
"58","SPAC1250.03"
"59","SPAC1296.01c"
"60","SPAC1296.02"
"61","SPAC12B10.02c"
"62","SPAC12B10.06c"
"63","SPAC12B10.07"
"64","SPAC12B10.09"
"65","SPAC12B10.16c"
"66","SPAC12G12.03"
"67","SPAC12G12.04"
"68","SPAC12G12.05c"
"69","SPAC12G12.06c"
"70","SPAC12G12.07c"
"71","SPAC12G12.09"
"72","SPAC12G12.12"
"73","SPAC12G12.15"
"74","SPAC139.01c"
"75","SPAC139.02c"
"76","SPAC13A11.01c"
"77","SPAC13A11.02c"
"78","SPAC13A11.05"
"79","SPAC13C5.01c"
"80","SPAC13C5.04"
"81","SPAC13C5.05c"
"82","SPAC13D6.02c"
"83","SPAC13D6.03c"
"84","SPAC13D6.04c"
"85","SPAC13D6.05"
"86","SPAC13F5.03c"
"87","SPAC13F5.04c"
"88","SPAC13F5.06c"
"89","SPAC13G6.02c"
"90","SPAC13G6.03"
"91","SPAC13G6.04"
"92","SPAC13G6.06c"
"93","SPAC13G6.07c"
"94","SPAC13G6.09"
"95","SPAC13G6.10c"
"96","SPAC13G6.11c"
"97","SPAC13G6.14"
"98","SPAC13G7.01c"
"99","SPAC13G7.02c"
"100","SPAC13G7.06"
"101","SPAC13G7.08c"
"102","SPAC13G7.12c"
"103","SPAC13G7.13c"
"104","SPAC140.01"
"105","SPAC140.02"
"106","SPAC1420.02c"
"107","SPAC144.02"
"108","SPAC144.04c"
"109","SPAC144.06"
"110","SPAC144.08"
"111","SPAC144.12"
"112","SPAC144.17c"
"113","SPAC1486.01"
